t,Vin,Vout
+710.00E-06,+492.67969E-03,-15.03906E-03
+720.00E-06,+490.76563E-03,-37.46094E-03
+730.00E-06,+492.13281E-03,-50.03906E-03
+740.00E-06,+490.49219E-03,-68.08594E-03
+750.00E-06,+490.49219E-03,-80.11719E-03
+760.00E-06,+491.58594E-03,-92.42188E-03
+770.00E-06,+490.49219E-03,-101.71875E-03
+780.00E-06,+491.31250E-03,-108.82813E-03
+790.00E-06,+491.03906E-03,-114.84375E-03
+800.00E-06,+490.21875E-03,-116.21094E-03
+810.00E-06,+491.31250E-03,-118.12500E-03
+820.00E-06,+489.94531E-03,-115.39063E-03
+830.00E-06,+491.31250E-03,-113.75000E-03
+840.00E-06,+490.49219E-03,-106.09375E-03
+850.00E-06,+490.76563E-03,-101.44531E-03
+860.00E-06,+491.03906E-03,-89.14063E-03
+870.00E-06,+490.49219E-03,-82.85156E-03
+880.00E-06,+491.31250E-03,-68.08594E-03
+890.00E-06,+490.21875E-03,-58.24219E-03
+900.00E-06,+490.21875E-03,-44.29688E-03
+910.00E-06,+490.76563E-03,-30.07813E-03
+920.00E-06,+489.67188E-03,-19.68750E-03
+930.00E-06,+490.76563E-03,-2.46094E-03
+940.00E-06,+488.85156E-03,+6.01563E-03
+950.00E-06,+491.31250E-03,+21.87500E-03
+960.00E-06,+488.85156E-03,+31.71875E-03
+970.00E-06,+490.21875E-03,+41.83594E-03
+980.00E-06,+491.03906E-03,+53.32031E-03
+990.00E-06,+489.39844E-03,+57.96875E-03
+1.00000E-03,+490.21875E-03,+68.35938E-03
+1.01000E-03,+489.12500E-03,+71.09375E-03
+1.02000E-03,+489.94531E-03,+76.28906E-03
+1.03000E-03,+490.49219E-03,+80.11719E-03
+1.04000E-03,+489.67188E-03,+78.47656E-03
+1.05000E-03,+490.21875E-03,+81.48438E-03
+1.06000E-03,+488.57813E-03,+76.28906E-03
+1.07000E-03,+490.21875E-03,+74.92188E-03
+1.08000E-03,+490.49219E-03,+71.36719E-03
+1.09000E-03,+490.76563E-03,+63.43750E-03
+1.10000E-03,+491.03906E-03,+60.70313E-03
+1.11000E-03,+489.67188E-03,+50.31250E-03
+1.12000E-03,+490.21875E-03,+44.57031E-03
+1.13000E-03,+490.49219E-03,+35.54688E-03
+1.14000E-03,+489.94531E-03,+25.42969E-03
+1.15000E-03,+491.03906E-03,+19.96094E-03
+1.16000E-03,+489.12500E-03,+7.92969E-03
+1.17000E-03,+489.67188E-03,+3.00781E-03
+1.18000E-03,+489.67188E-03,-8.47656E-03
+1.19000E-03,+490.49219E-03,-13.39844E-03
+1.20000E-03,+489.67188E-03,-22.14844E-03
+1.21000E-03,+489.67188E-03,-29.53125E-03
+1.22000E-03,+489.94531E-03,-32.81250E-03
+1.23000E-03,+489.67188E-03,-41.28906E-03
+1.24000E-03,+490.49219E-03,-41.56250E-03
+1.25000E-03,+490.21875E-03,-48.39844E-03
+1.26000E-03,+489.39844E-03,-47.30469E-03
+1.27000E-03,+490.49219E-03,-50.58594E-03
+1.28000E-03,+489.39844E-03,-49.76563E-03
+1.29000E-03,+491.31250E-03,-49.21875E-03
+1.30000E-03,+489.12500E-03,-49.21875E-03
+1.31000E-03,+490.21875E-03,-44.02344E-03
+1.32000E-03,+489.67188E-03,-43.75000E-03
+1.33000E-03,+490.49219E-03,-36.91406E-03
+1.34000E-03,+490.76563E-03,-35.27344E-03
+1.35000E-03,+489.67188E-03,-27.61719E-03
+1.36000E-03,+490.21875E-03,-24.60938E-03
+1.37000E-03,+489.39844E-03,-18.04688E-03
+1.38000E-03,+490.21875E-03,-12.30469E-03
+1.39000E-03,+489.39844E-03,-7.10938E-03
+1.40000E-03,+488.85156E-03,+0.0E+00
+1.41000E-03,+489.67188E-03,+3.55469E-03
+1.42000E-03,+488.85156E-03,+11.21094E-03
+1.43000E-03,+489.94531E-03,+13.67188E-03
+1.44000E-03,+489.67188E-03,+20.23438E-03
+1.45000E-03,+489.67188E-03,+23.24219E-03
+1.46000E-03,+490.76563E-03,+26.25000E-03
+1.47000E-03,+489.67188E-03,+31.17188E-03
+1.48000E-03,+491.03906E-03,+31.17188E-03
+1.49000E-03,+489.39844E-03,+35.27344E-03
+1.50000E-03,+489.94531E-03,+34.72656E-03
+1.51000E-03,+491.03906E-03,+36.09375E-03
+1.52000E-03,+490.49219E-03,+36.36719E-03
+1.53000E-03,+491.85938E-03,+34.17969E-03
+1.54000E-03,+490.21875E-03,+35.27344E-03
+1.55000E-03,+490.21875E-03,+30.62500E-03
+1.56000E-03,+491.31250E-03,+30.89844E-03
+1.57000E-03,+490.76563E-03,+27.07031E-03
+1.58000E-03,+490.49219E-03,+23.78906E-03
+1.59000E-03,+489.67188E-03,+21.32813E-03
+1.60000E-03,+489.94531E-03,+15.31250E-03
+1.61000E-03,+490.76563E-03,+15.03906E-03
+1.62000E-03,+491.03906E-03,+8.75000E-03
+1.63000E-03,+491.03906E-03,+6.28906E-03
+1.64000E-03,+489.39844E-03,+2.18750E-03
+1.65000E-03,+490.76563E-03,-2.46094E-03
+1.66000E-03,+490.21875E-03,-4.10156E-03
+1.67000E-03,+491.31250E-03,-9.84375E-03
+1.68000E-03,+490.21875E-03,-9.02344E-03
+1.69000E-03,+489.39844E-03,-14.76563E-03
+1.70000E-03,+489.94531E-03,-15.03906E-03
+1.71000E-03,+490.21875E-03,-17.77344E-03
+1.72000E-03,+491.03906E-03,-19.41406E-03
+1.73000E-03,+489.94531E-03,-18.86719E-03
+1.74000E-03,+489.39844E-03,-22.42188E-03
+1.75000E-03,+489.94531E-03,-18.59375E-03
+1.76000E-03,+489.39844E-03,-22.14844E-03
+1.77000E-03,+491.03906E-03,-18.32031E-03
+1.78000E-03,+489.12500E-03,-18.59375E-03
+1.79000E-03,+489.39844E-03,-17.50000E-03
+1.80000E-03,+489.67188E-03,-14.21875E-03
+1.81000E-03,+488.85156E-03,-15.03906E-03
+1.82000E-03,+490.21875E-03,-9.02344E-03
+1.83000E-03,+488.85156E-03,-10.39063E-03
+1.84000E-03,+489.94531E-03,-4.92188E-03
+1.85000E-03,+489.39844E-03,-4.10156E-03
+1.86000E-03,+489.67188E-03,-1.64063E-03
+1.87000E-03,+489.94531E-03,+2.46094E-03
+1.88000E-03,+488.85156E-03,+1.64063E-03
+1.89000E-03,+489.94531E-03,+7.65625E-03
+1.90000E-03,+489.39844E-03,+6.28906E-03
+1.91000E-03,+489.67188E-03,+11.48438E-03
+1.92000E-03,+489.67188E-03,+11.75781E-03
+1.93000E-03,+488.57813E-03,+12.85156E-03
+1.94000E-03,+489.67188E-03,+16.13281E-03
+1.95000E-03,+488.85156E-03,+14.21875E-03
+1.96000E-03,+489.12500E-03,+18.59375E-03
+1.97000E-03,+488.85156E-03,+15.85938E-03
+1.98000E-03,+488.57813E-03,+17.77344E-03
+1.99000E-03,+489.94531E-03,+16.95313E-03
