Freq.	V(n005)/(-I(R1)-I(R2))
2.86437579854706e+001	(6.18331099631815e+001dB,-6.23542943618100e+001°)
2.87097886670729e+001	(6.18102887780663e+001dB,-6.23997475491248e+001°)
2.87759715651167e+001	(6.17874187502422e+001dB,-6.24449189531446e+001°)
2.88423070304971e+001	(6.17644998921643e+001dB,-6.24898066637215e+001°)
2.89087954149183e+001	(6.17415322173209e+001dB,-6.25344087618658e+001°)
2.89754370708950e+001	(6.17185157402409e+001dB,-6.25787233196638e+001°)
2.90422323517546e+001	(6.16954504765091e+001dB,-6.26227484002540e+001°)
2.91091816116391e+001	(6.16723364427861e+001dB,-6.26664820578066e+001°)
2.91762852055067e+001	(6.16491736568083e+001dB,-6.27099223374448e+001°)
2.92435434891341e+001	(6.16259621374156e+001dB,-6.27530672752247e+001°)
2.93109568191180e+001	(6.16027019045566e+001dB,-6.27959148980950e+001°)
2.93785255528771e+001	(6.15793929793038e+001dB,-6.28384632238277e+001°)
2.94462500486541e+001	(6.15560353838759e+001dB,-6.28807102610253e+001°)
2.95141306655176e+001	(6.15326291416408e+001dB,-6.29226540090375e+001°)
2.95821677633639e+001	(6.15091742771379e+001dB,-6.29642924579298e+001°)
2.96503617029188e+001	(6.14856708160856e+001dB,-6.30056235884369e+001°)
2.97187128457399e+001	(6.14621187854093e+001dB,-6.30466453719518e+001°)
2.97872215542180e+001	(6.14385182132420e+001dB,-6.30873557704432e+001°)
2.98558881915797e+001	(6.14148691289517e+001dB,-6.31277527364409e+001°)
2.99247131218884e+001	(6.13911715631494e+001dB,-6.31678342129891e+001°)
2.99936967100472e+001	(6.13674255477104e+001dB,-6.32075981336158e+001°)
3.00628393218002e+001	(6.13436311157830e+001dB,-6.32470424222488e+001°)
3.01321413237346e+001	(6.13197883018126e+001dB,-6.32861649932291e+001°)
3.02016030832827e+001	(6.12958971415544e+001dB,-6.33249637512502e+001°)
3.02712249687239e+001	(6.12719576720965e+001dB,-6.33634365913319e+001°)
3.03410073491864e+001	(6.12479699318621e+001dB,-6.34015813987260e+001°)
3.04109505946496e+001	(6.12239339606421e+001dB,-6.34393960489547e+001°)
3.04810550759455e+001	(6.11998497996048e+001dB,-6.34768784077154e+001°)
3.05513211647612e+001	(6.11757174913175e+001dB,-6.35140263308813e+001°)
3.06217492336403e+001	(6.11515370797541e+001dB,-6.35508376644009e+001°)
3.06923396559856e+001	(6.11273086103349e+001dB,-6.35873102443652e+001°)
3.07630928060604e+001	(6.11030321299200e+001dB,-6.36234418968552e+001°)
3.08340090589909e+001	(6.10787076868430e+001dB,-6.36592304379794e+001°)
3.09050887907680e+001	(6.10543353309285e+001dB,-6.36946736738244e+001°)
3.09763323782493e+001	(6.10299151135034e+001dB,-6.37297694003843e+001°)
3.10477401991613e+001	(6.10054470874270e+001dB,-6.37645154035581e+001°)
3.11193126321012e+001	(6.09809313071010e+001dB,-6.37989094591169e+001°)
3.11910500565388e+001	(6.09563678284999e+001dB,-6.38329493326595e+001°)
3.12629528528188e+001	(6.09317567091731e+001dB,-6.38666327795414e+001°)
3.13350214021627e+001	(6.09070980082884e+001dB,-6.38999575449167e+001°)
3.14072560866707e+001	(6.08823917866364e+001dB,-6.39329213636480e+001°)
3.14796572893241e+001	(6.08576381066537e+001dB,-6.39655219602823e+001°)
3.15522253939866e+001	(6.08328370324511e+001dB,-6.39977570490310e+001°)
3.16249607854073e+001	(6.08079886298229e+001dB,-6.40296243337212e+001°)
3.16978638492219e+001	(6.07830929662855e+001dB,-6.40611215078041e+001°)
3.17709349719552e+001	(6.07581501110818e+001dB,-6.40922462542673e+001°)
3.18441745410231e+001	(6.07331601352144e+001dB,-6.41229962456464e+001°)
3.19175829447343e+001	(6.07081231114622e+001dB,-6.41533691439727e+001°)
3.19911605722930e+001	(6.06830391144074e+001dB,-6.41833626007604e+001°)
3.20649078138005e+001	(6.06579082204598e+001dB,-6.42129742569852e+001°)
3.21388250602572e+001	(6.06327305078712e+001dB,-6.42422017430275e+001°)
3.22129127035651e+001	(6.06075060567685e+001dB,-6.42710426786679e+001°)
3.22871711365294e+001	(6.05822349491737e+001dB,-6.42994946730687e+001°)
3.23616007528610e+001	(6.05569172690272e+001dB,-6.43275553247222e+001°)
3.24362019471783e+001	(6.05315531022146e+001dB,-6.43552222214642e+001°)
3.25109751150093e+001	(6.05061425365905e+001dB,-6.43824929404131e+001°)
3.25859206527941e+001	(6.04806856620015e+001dB,-6.44093650479680e+001°)
3.26610389578863e+001	(6.04551825703150e+001dB,-6.44358360997927e+001°)
3.27363304285558e+001	(6.04296333554412e+001dB,-6.44619036407803e+001°)
3.28117954639904e+001	(6.04040381133630e+001dB,-6.44875652050415e+001°)
3.28874344642983e+001	(6.03783969421624e+001dB,-6.45128183159130e+001°)
3.29632478305098e+001	(6.03527099420381e+001dB,-6.45376604858661e+001°)
3.30392359645799e+001	(6.03269772153468e+001dB,-6.45620892165849e+001°)
3.31153992693902e+001	(6.03011988666199e+001dB,-6.45861019988954e+001°)
3.31917381487508e+001	(6.02753750025928e+001dB,-6.46096963127483e+001°)
