f,mag,phase
1.33659551654643e+001,-5.03120872489048e+001,8.99044701563134e+001
1.33967668742593e+001,-5.02920857482282e+001,8.99042913519816e+001
1.34276496113785e+001,-5.02720842406201e+001,8.99041120400737e+001
1.34586035405594e+001,-5.02520827260484e+001,8.99039322196374e+001
1.34896288259164e+001,-5.02320812044810e+001,8.99037518897175e+001
1.35207256319427e+001,-5.02120796758856e+001,8.99035710493577e+001
1.35518941235103e+001,-5.01920781402299e+001,8.99033896975956e+001
1.35831344658714e+001,-5.01720765974812e+001,8.99032078334728e+001
1.36144468246594e+001,-5.01520750476069e+001,8.99030254560201e+001
1.36458313658891e+001,-5.01320734905740e+001,8.99028425642731e+001
1.36772882559584e+001,-5.01120719263496e+001,8.99026591572580e+001
1.37088176616484e+001,-5.00920703549004e+001,8.99024752340032e+001
1.37404197501251e+001,-5.00720687761931e+001,8.99022907935328e+001
1.37720946889394e+001,-5.00520671901943e+001,8.99021058348666e+001
1.38038426460287e+001,-5.00320655968702e+001,8.99019203570248e+001
1.38356637897177e+001,-5.00120639961872e+001,8.99017343590201e+001
1.38675582887188e+001,-4.99920623881112e+001,8.99015478398675e+001
1.38995263121334e+001,-4.99720607726082e+001,8.99013607985776e+001
1.39315680294529e+001,-4.99520591496439e+001,8.99011732341547e+001
1.39636836105593e+001,-4.99320575191838e+001,8.99009851456054e+001
1.39958732257261e+001,-4.99120558811934e+001,8.99007965319328e+001
1.40281370456195e+001,-4.98920542356379e+001,8.99006073921325e+001
1.40604752412990e+001,-4.98720525824825e+001,8.99004177252008e+001
1.40928879842186e+001,-4.98520509216920e+001,8.99002275301351e+001
1.41253754462274e+001,-4.98320492532313e+001,8.99000368059229e+001
1.41579377995707e+001,-4.98120475770649e+001,8.98998455515507e+001
1.41905752168908e+001,-4.97920458931574e+001,8.98996537660040e+001
1.42232878712281e+001,-4.97720442014729e+001,8.98994614482667e+001
1.42560759360218e+001,-4.97520425019757e+001,8.98992685973176e+001
1.42889395851109e+001,-4.97320407946296e+001,8.98990752121306e+001
1.43218789927353e+001,-4.97120390793984e+001,8.98988812916829e+001
1.43548943335364e+001,-4.96920373562459e+001,8.98986868349426e+001
1.43879857825583e+001,-4.96720356251353e+001,8.98984918408765e+001
1.44211535152486e+001,-4.96520338860300e+001,8.98982963084533e+001
1.44543977074592e+001,-4.96320321388932e+001,8.98981002366314e+001
1.44877185354475e+001,-4.96120303836877e+001,8.98979036243738e+001
1.45211161758773e+001,-4.95920286203764e+001,8.98977064706331e+001
1.45545908058195e+001,-4.95720268489217e+001,8.98975087743637e+001
1.45881426027534e+001,-4.95520250692863e+001,8.98973105345192e+001
1.46217717445671e+001,-4.95320232814322e+001,8.98971117500452e+001
1.46554784095590e+001,-4.95120214853216e+001,8.98969124198848e+001
1.46892627764385e+001,-4.94920196809165e+001,8.98967125429814e+001
1.47231250243271e+001,-4.94720178681784e+001,8.98965121182742e+001
1.47570653327588e+001,-4.94520160470691e+001,8.98963111446992e+001
1.47910838816819e+001,-4.94320142175497e+001,8.98961096211901e+001
1.48251808514594e+001,-4.94120123795816e+001,8.98959075466760e+001
1.48593564228699e+001,-4.93920105331258e+001,8.98957049200848e+001
1.48936107771090e+001,-4.93720086781430e+001,8.98955017403422e+001
1.49279440957898e+001,-4.93520068145940e+001,8.98952980063663e+001
1.49623565609442e+001,-4.93320049424393e+001,8.98950937170767e+001
